1,1,1,Allen,Miss. Elisabeth Walton,female,S
7,1,1,Andrews,Miss. Kornelia Theodosia,female,S
9,1,1,Appleton,Mrs. Edward Dale (Charlotte Lamson),female,S
12,1,1,Astor,Mrs. John Jacob (Madeleine Talmadge Force),female,C
13,1,1,Aubart,Mme. Leontine Pauline,female,C
14,1,1,Barber,Miss. Ellen Nellie,female,S
18,1,1,Baxter,Mrs. James (Helene DeLaudeniere Chaput),female,C
19,1,1,Bazzani,Miss. Albina,female,C
22,1,1,Beckwith,Mrs. Richard Leonard (Sallie Monypeny),female,S
24,1,1,Bidois,Miss. Rosalie,female,C
25,1,1,Bird,Miss. Ellen,female,S
28,1,1,Bishop,Mrs. Dickinson H (Helen Walton),female,C
29,1,1,Bissette,Miss. Amelia,female,S
33,1,1,Bonnell,Miss. Caroline,female,S
34,1,1,Bonnell,Miss. Elizabeth,female,S
36,1,1,Bowen,Miss. Grace Scott,female,C
37,1,1,Bowerman,Miss. Elsie Edith,female,S
42,1,1,Brown,Mrs. James Joseph (Margaret Tobin),female,C
43,1,1,Brown,Mrs. John Murray (Caroline Lane Lamson),female,S
44,1,1,Bucknell,Mrs. William Robert (Emma Eliza Ward),female,C
45,1,1,Burns,Miss. Elizabeth Margaret,female,C
49,1,1,Candee,Mrs. Edward (Helen Churchill Hungerford),female,C
51,1,1,Cardeza,Mrs. James Warburton Martinez (Charlotte Wardle Drake),female,C
56,1,1,Carter,Miss. Lucile Polk,female,S
58,1,1,Carter,Mrs. William Ernest (Lucile Polk),female,S
60,1,1,Cassebeer,Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick),female,C
62,1,1,Cavendish,Mrs. Tyrell William (Julia Florence Siegel),female,S
64,1,1,Chaffee,Mrs. Herbert Fuller (Carrie Constance Toogood),female,S
66,1,1,Chambers,Mrs. Norman Campbell (Bertha Griggs),female,S
67,1,1,Chaudanson,Miss. Victorine,female,C
68,1,1,Cherry,Miss. Gladys,female,S
70,1,1,Chibnall,Mrs. (Edith Martha Bowerman),female,S
73,1,1,Clark,Mrs. Walter Miller (Virginia McDowell),female,C
74,1,1,Cleaver,Miss. Alice,female,S
77,1,1,Compton,Miss. Sara Rebecca,female,C
79,1,1,Compton,Mrs. Alexander Taylor (Mary Eliza Ingersoll),female,C
80,1,1,Cornell,Mrs. Robert Clifford (Malvina Helen Lamson),female,S
83,1,1,Crosby,Miss. Harriet R,female,S
84,1,1,Crosby,Mrs. Edward Gifford (Catherine Elizabeth Halstead),female,S
86,1,1,Cumings,Mrs. John Bradley (Florence Briggs Thayer),female,C
89,1,1,Daniels,Miss. Sarah,female,S
91,1,1,Davidson,Mrs. Thornton (Orian Hays),female,S
93,1,1,Dick,Mrs. Albert Adrian (Vera Gillespie),female,S
96,1,1,Dodge,Mrs. Washington (Ruth Vidaver),female,S
98,1,1,Douglas,Mrs. Frederick Charles (Mary Helene Baxter),female,C
99,1,1,Douglas,Mrs. Walter Donald (Mahala Dutton),female,C
100,1,1,Duff Gordon,Lady. (Lucille Christiana Sutherland) (Mrs Morgan),female,C
103,1,1,Earnshaw,Mrs. Boulton (Olive Potter),female,C
104,1,1,Endres,Miss. Caroline Louise,female,C
105,1,1,Eustis,Miss. Elizabeth Mussey,female,C
108,1,1,Flegenheim,Mrs. Alfred (Antoinette),female,S
